shiftb	a	b	k
761.088	5425.26	3883.7	2330.04
759.565	5869.375	4083.4	2532.1
758.041	6344.495	4194.5	2540.58
756.517	6495.815	4127.8	2832.76
754.992	6139.14	4074.8	2363.96
753.468	5714.36	3914.2	2277.34
751.943	5121.385	3718.1	2172.74
750.417	4784.915	3491.5	1824.06
748.892	4544.14	3631	1858.86
747.366	4457.47	3445.9	1762.68
745.84	4392.7	3395.3	1576.5
744.314	4290.83	3372.6	1423.02
742.787	4208.565	3281.6	1556.26
741.26	4122.1	3269.3	1484.8
739.733	3826.035	3250.4	1662.24
738.205	3846.575	3199.8	1559.7
736.677	3782.515	3091	1400.06
735.149	3685.255	3074.8	1192.92
733.621	3463.095	3056.5	1049.68
732.092	3522.44	2985.9	999.76
730.563	3315.085	2931.6	989.14
729.034	3338.43	2944.4	846.12
727.505	3274.575	2995.9	971.2
725.975	3222.725	2894.3	1039
724.445	3388.275	2946.8	961.5
722.915	3334.725	2916.6	687.9
721.384	3401.68	2889.6	904.42
719.853	3222.435	2793.5	900.44
718.322	3242.49	2685	1112.06
716.79	3173.85	2546	832.2
715.259	3135.205	2392.88	916.42
713.727	3027.465	2302.4	829.26
712.194	2952.43	2004.2	913.52
710.662	2910.49	1881.19	790.56
709.129	2889.855	1866.96	653.02
707.596	2687.72	1844.58	657.38
706.062	2726.29	1694.5	749.76
704.529	2602.555	1757.46	767.22
702.995	2560.725	1718.81	675.4
701.46	2671.1	1694.3	829.8
699.926	2553.37	1689.35	641.88
698.391	2597.945	1733.81	634.98
696.856	2518.32	1658.82	548.28
695.32	2505.9	1580.06	463.2
693.785	2350.275	1463.89	510.1
692.249	2361.255	1474.17	459.32
690.712	2351.14	1309.24	455.76
689.176	2194.02	1155.22	588.78
687.639	2039.105	1100.49	525.12
686.102	2089.79	1109.74	445.06
684.565	2049.375	1007.88	370
683.027	2064.765	920.68	278.76
681.489	1875.855	805.88	319.22
679.951	1871.245	772.39	457.18
678.412	1891.54	763.28	323.76
676.873	1859.935	757.96	533.24
675.334	1894.83	754.81	533.02
673.795	1789.025	666.67	451.7
672.255	1762.225	616.46	471.1
670.715	1768.025	701	532.7
669.175	1832.625	692.45	522.8
667.634	1788.63	652.53	469.22
666.094	1803.53	682.39	485.32
664.553	1762.235	713.33	387.94
663.011	1643.645	667.48	193.28
661.469	1752.655	712.46	593.92
659.928	1817.26	601.77	438.24
658.385	1788.375	738.06	511.2
656.843	1895.185	740.86	668.44
655.3	1982.5	765.81	670.1
653.757	1905.515	716.76	563.16
652.214	2021.43	774.09	657.22
650.67	1975.35	726.14	762.6
649.126	1940.57	755.92	777.18
647.582	2203.19	881.21	1105.96
646.037	2737.015	1114.9	1882.96
644.492	3528.64	1521.13	2593.26
642.947	4245.465	1825.81	2932.86
641.402	4762.99	1692.51	3060.36
639.856	4343.92	1403.45	2615.38
638.31	3505.05	954.93	1847.1
636.764	2642.88	580.96	1085.52
635.218	2145.71	288.49	762.34
633.671	1831.945	160.44	726.98
632.124	1516.68	-53.2	333.02
630.576	1344.32	82.21	452.88
629.029	1308.155	12.42	361.12
627.481	1364.595	123.01	398.68
625.932	1421.14	275	500.76
624.384	1696.58	725.07	680.32
622.835	2152.725	1374.05	1098.8
621.286	2664.67	1992.66	1232.98
619.737	3106.515	2042	1564.06
618.187	2885.165	1718.13	1320.76
616.637	2278.915	1079.3	1161.36
615.087	1748.665	595.53	760.16
613.536	1604.02	365.61	623.58
611.986	1337.37	187.91	590.18
610.434	1184.33	141.35	481.12
608.883	1274.585	154.44	596.04
607.331	1301.445	130.47	324.28
605.779	1133.905	150	714.72
604.227	1209.665	154.49	534.86
602.675	1178.025	135.89	488.8
601.122	1189.29	101.74	585.96
599.569	1265.055	67.07	631.72
598.015	1163.625	162.23	748.2
596.462	1158.89	204.25	521.96
594.908	1296.26	151.88	688.34
593.353	1137.535	123.65	483.14
591.799	1123.205	139.93	837.62
590.244	1269.08	42.04	716.12
588.689	1289.955	117.81	808.42
587.133	1296.435	50.5	855.84
585.578	1247.21	50.71	874.14
584.022	1204.99	138.74	714.26
582.465	1341.075	56.47	740.7
580.909	1397.355	54.54	709.42
579.352	1368.04	97.56	763.16
577.795	1368.025	200.51	951.8
576.237	1474.115	207.11	918.96
574.68	1636.7	219.59	786.5
573.122	1758.69	276.99	1058.56
571.563	1943.185	333.31	1120.44
570.005	1881.175	373.02	1057.1
568.446	1998.27	364.08	1062.78
566.887	2021.165	369.57	1276.86
565.327	1983.765	452.54	1107.76
563.768	1973.56	449.46	1222.44
562.207	1934.065	393.5	1164.06
560.647	1997.565	400.58	1221.06
559.087	1913.765	473.87	1334.16
557.526	1945.77	437.15	1224.58
555.964	1949.58	484.79	1329.62
554.403	1999.185	550.55	1357.84
552.841	2122.995	558.12	1429.18
551.279	1944.305	499.54	1532.62
549.717	2094.715	652.74	1475.96
548.154	1963.53	657.09	1604.92
546.591	2061.145	714.23	1761.08
545.028	2124.06	677.52	1645.34
543.464	2216.28	750.08	1702.32
541.901	2159.195	785.32	1645.78
540.336	2284.42	854.11	1782.68
538.772	2371.24	839.24	1809.26
537.207	2374.365	873.37	1944.56
535.642	2427.59	837.21	1902.46
534.077	2442.515	834.59	1778.96
532.512	2304.04	933.11	1893.46
530.946	2348.77	866.09	2114.88
529.38	2387.6	987.45	2074.4
527.813	2405.735	919.9	1912.74
526.246	2284.47	865.15	2212.28
524.679	2356.205	850.3	2140.02
523.112	2263.74	938.6	2469.76
521.545	2300.475	963.08	2284.2
519.977	2263.815	850.42	2227.96
518.409	2140.555	935.49	2294.52
516.84	2073.7	852.63	2243.1
515.271	2059.445	944.57	2280.88
513.702	2044.09	783.13	2180.16
512.133	2014.935	804.96	2060.34
510.563	1993.285	867.12	2240.04
508.993	2004.035	806.64	2346.34
507.423	1888.485	729.74	2283.94
505.853	1933.735	792.41	2379.14
504.282	1922.19	799.89	2332.66
502.711	1896.845	763.33	2340.38
501.139	1938.305	738.46	2193.72
499.568	1913.56	782.53	2459.14
497.996	1948.22	875.88	2328.48
496.423	2104.185	933.15	2490.54
494.851	2156.245	935.29	2490.28
493.278	2277.71	943.78	2509.14
491.705	2298.375	868.05	2669.5
490.131	2483.345	901.98	2430.88
488.558	2410.31	844.81	2432.34
486.984	2377.58	880.32	2464.02
485.409	2271.855	793.01	2289.22
483.835	2193.625	794.11	2278
482.26	2029.2	642.29	2028.8
480.685	2005.075	666.16	2116.1
479.109	1906.355	620.21	2085.92
477.533	1836.735	488.6	2341.44
475.957	1781.415	515.67	2081.26
474.381	1732.995	513.65	2070.28
472.804	1724.28	464.05	2119.52
471.227	1779.965	447.77	2200.46
469.65	1777.05	473.24	1981.8
468.072	1692.84	538.84	2159.46
466.495	1784.425	591.21	2219.8
464.916	1657.92	625.61	2292.88
463.338	1754.31	566.02	2197.94
461.759	1730.805	607.8	2169.62
460.18	1652	670.67	2233.2
458.601	1789.395	663.34	2407.48
457.021	1771.795	696.11	2363.38
455.441	1795.295	727.81	2225.98
453.861	1750.195	637.68	2284.78
452.281	1878.595	601.89	2495.38
450.7	1707	654.15	2532
449.119	1669.405	686.89	2434.22
447.537	1685.515	595.78	2289.16
445.956	1602.02	515.24	2445.88
444.374	1696.13	624.36	2420.92
442.792	1553.24	496.44	2482.96
441.209	1490.955	495.48	2328.52
439.626	1507.07	502.41	2455.18
438.043	1598.985	447.22	2657.74
436.46	1556.8	602.04	2410.2
434.876	1680.22	646.31	2448.58
433.292	1637.44	705.81	2699.96
431.707	1713.065	751.09	2877.06
430.123	1775.485	775.32	2675.54
428.538	1831.01	819.52	2650.74
426.953	1984.335	900.5	2695.34
425.367	1964.665	884.21	2651.76
423.781	1955.995	912.6	2868.18
422.195	1968.925	952.53	2698.5
420.609	1903.655	1000.86	2804.62
419.022	2057.29	1152.62	2863.46
417.435	2071.325	1143.66	2717.4
415.848	2112.56	1140.99	3144.84
414.26	2148.6	1219.16	3169
412.672	2171.94	1234.32	3059.36
411.084	2134.98	1275.72	3182.62
409.496	2057.72	1297.68	2926.68
407.907	2164.465	1254.6	3032.76
406.318	2096.11	1207.34	2995.64
404.728	1948.66	1197.32	2813.84
403.139	1929.105	1007.5	2814.52
401.549	1817.255	900.04	2742.82
399.958	1744.81	864.41	2789.24
398.368	1693.96	609.27	2672.04
