shiftb	a	b	k
1570.95	3883.55	4177.7	5130.1
1569.58	3766.4	4055.9	5025.1
1568.2	3722.6	4078.7	5003.8
1566.82	3740.5	4004.7	5091.4
1565.44	3738.4	4212.4	4803.5
1564.06	3860.2	4162	4940.1
1562.68	4048.5	4372.7	4772
1561.3	4201	4405.6	5291.1
1559.93	4477.95	4538.3	5162.7
1558.55	4808.55	4742.1	5083.5
1557.17	5303.35	4992.4	5533.4
1555.79	5572.05	5211.8	5309.3
1554.41	5982.05	5342.4	5576
1553.02	6061.1	5315.3	5680
1551.64	5933.7	5323.9	5490.3
1550.26	5942.1	5226.9	5586.8
1548.88	5753.8	5067.8	5531.2
1547.5	5647.7	4940.1	5168
1546.12	5324.4	4606.9	4781.5
1544.74	4913.9	4495.6	4755
1543.35	4722.95	4210.7	4267.6
1541.97	4253.55	4034.4	4225
1540.59	4104.95	3873.9	4135.4
1539.21	3761.25	3741.7	4085.6
1537.82	3533.9	3684.3	4178.8
1536.44	3492.8	3640.8	3773.1
1535.05	3330.65	3547.9	3839.2
1533.67	3272.65	3503.8	3318.1
1532.29	3182.75	3431.4	3320.9
1530.9	3145.4	3318.1	3190.3
1529.52	3118.8	3391.4	3065
1528.13	3121.15	3410.6	3250.4
1526.75	2991.65	3450.7	3464.4
1525.36	2877.9	3466.2	3433.2
1523.98	2977.1	3438.4	2822.6
1522.59	3046.75	3413.1	3105.4
1521.2	3012.5	3434.6	3023.7
1519.82	3022.6	3465.1	3205.2
1518.43	3182.95	3472.8	2892.8
1517.04	3115.6	3526.7	3083.4
1515.66	3087.9	3519.3	2825.1
1514.27	3186.35	3449.5	3197.7
1512.88	3191.7	3466.8	3184.6
1511.49	3019.25	3495.5	2921.2
1510.11	3130.25	3458.7	2794.5
1508.72	3058.8	3603.2	3012
1507.33	3019.75	3605.5	2891
1505.94	3065.3	3693.5	2986.1
1504.55	3113.85	3902.7	3226.8
1503.16	3176.2	3923.4	3064.5
1501.77	3321.25	4033.6	3224.2
1500.38	3181.5	4211.4	3090.8
1498.99	3422.45	4352	3282.8
1497.6	3599.8	4529.7	3028.9
1496.21	3678.15	4718.1	3129.3
1494.82	3923.1	4938.8	3323.1
1493.43	3892.35	5175.1	3166.3
1492.04	4061.7	5488.4	3661.9
1490.65	4164.45	5705.9	3665.1
1489.25	4427.15	6117.3	3893
1487.86	4429.9	6552.5	4201.5
1486.47	4721.15	7100.6	4260.3
1485.08	5067.9	7610.8	4518.3
1483.68	5458.2	8329.1	5025.9
1482.29	5835.85	9133.9	5339.4
1480.9	6444.8	9845	5846.5
1479.5	6892.1	11017	6307
1478.11	7659.15	11998.4	7186.9
1476.72	8269.8	13130.7	7749
1475.32	9164.2	14475.9	8623.2
1473.93	10129.45	15827.3	9570.3
1472.53	11079.35	17441	9988.6
1471.14	12195	19034.5	11576.7
1469.74	12893.9	20782.7	12243.5
1468.35	14265.05	22293.8	13038.9
1466.95	15451.15	23828.8	14342.8
1465.55	16446.45	25356.1	15107.3
1464.16	17507	26551.1	15869.6
1462.76	18247.4	27212.1	16309.5
1461.36	19025.1	27796	16826.3
1459.97	19562.75	28248.4	17602.2
1458.57	20082.95	28842.7	17757.1
1457.17	20419.85	29463.5	18463
1455.77	20986.15	30272.5	18440.7
1454.38	21664.9	31307.1	19287.3
1452.98	22733.3	32445.7	19581.3
1451.58	23402.6	33497.4	20214.9
1450.18	24239.6	34382.6	20447.9
1448.78	24790.5	34589	21188.3
1447.38	25036.3	34366.5	20618.9
1445.98	24682.3	33203.3	20312.3
1444.58	24092.8	31888.2	19516.4
1443.18	23428.4	30061	18885.1
1441.78	22506.6	28254.1	17829.1
1440.38	21388.2	26513.3	16755.7
1438.98	20165.5	24749.3	15500.6
1437.58	19228.1	22921.1	14403
1436.18	17767.1	21397.4	13089.9
1434.78	16651.6	19841	12144.7
1433.38	15558.4	18483.1	11572.7
1431.97	14717.65	17041.9	10664
1430.57	13870.65	16021.3	10272.5
1429.17	13207.45	15318.4	9638.7
1427.77	12879.65	14738.1	9390
1426.36	12360.7	14156.2	8801.4
1424.96	12225	13885.7	8807.8
1423.56	11926	13440.2	8677
1422.15	12036.75	13098.7	8459.3
1420.75	11762.25	12832.6	8497.8
1419.34	11468.3	12460.5	8164.4
1417.94	11156	12017.9	8247.5
1416.54	10707.4	11568.3	7770
1415.13	10415.05	11196	8001
1413.73	10323.15	10935.3	7566.4
1412.32	9964.5	10598.3	7363.4
1410.91	9582.25	10477.7	7288.5
1409.51	9636.95	10194.1	7204.6
1408.1	9513.3	10029.2	7336
1406.7	9383.7	9976.9	7586.3
1405.29	9431.95	9956.6	7648.3
1403.88	9416.7	9852.8	7555.7
1402.47	9357.75	10006.6	7264.2
1401.07	9504.85	9892.8	7716.8
1399.66	9372.4	9934.7	7460.9
1398.25	9384.55	10035.8	7592.1
1396.84	9245.1	9962.2	7442.9
1395.43	9256.05	9949.7	7737.4
1394.03	9209.55	10002.1	7477.9
1392.62	8951.4	9850	7414
1391.21	8854.75	9942.7	7390.8
1389.8	8937.8	9876.3	7502.5
1388.39	8719.45	9697.7	7271.9
1386.98	8625.3	9611.9	7513
1385.57	8563.65	9396.1	6903.1
1384.16	8321.8	9204.6	6796.8
1382.75	8177.55	9002.6	6819.9
1381.33	8048.15	8871.5	6554.4
1379.92	7747.5	8751.1	6168.4
1378.51	7792.35	8677.3	6317.4
1377.1	7661.3	8729.9	6778
1375.69	7715.55	8867.5	6454.1
1374.28	7710.2	8961.9	6385.3
1372.86	7919.1	9064	6297.2
1371.45	8102.45	9326.5	6127.6
1370.04	8394.9	9655.5	6743.5
1368.62	8880.7	10081.7	6423.7
1367.21	9066.75	10302	6685.7
1365.8	9602.3	10585.9	7232.3
1364.38	10110.6	11057	7534.9
1362.97	10718.25	11606.4	7893.8
1361.55	11219.65	12056.6	8067.2
1360.14	11635.4	12490.2	8316.4
1358.72	12111.2	12892.4	8676.9
1357.31	12532.55	13491.1	8977.1
1355.89	12738.95	13869.4	8883.5
1354.48	12992.9	14338.2	9471.4
1353.06	13358.7	15212.3	9662
1351.64	13880.2	15576	9808.5
1350.23	14280.85	16390.1	10433
1348.81	14810.25	17031.7	10794.5
1347.39	15593.55	18002.3	11325.3
1345.98	16090.7	18659.8	11577
1344.56	16644.2	19321.7	12451.4
1343.14	17355.6	19752.5	12450.9
1341.72	17785.9	20062	13097.4
1340.3	18294.1	20135.2	13123.2
1338.89	18453.25	20018.1	12946.2
1337.47	18616.95	19849.3	13148.3
1336.05	18669.75	19404.6	13149.5
1334.63	18524.55	19381.6	13157.7
1333.21	18654.85	19223	12560.2
1331.79	18570.15	19039.8	12705.8
1330.37	18333.55	18967	12805.7
1328.95	18160.45	18991	12317.7
1327.53	18043.15	19054.3	12516.2
1326.11	17728.75	19119.9	12934.5
1324.69	17924.65	19346.2	12812.6
1323.26	17704.3	19387.7	12859.9
1321.84	17649.2	19646.1	12581.6
1320.42	17746.6	19827	12920.5
1319	17871.4	20027.8	12918.3
